,Team,Prize,NumTournaments,Year
119,Project_kr,"$9,000.00",2 Tournaments,2013
120,Reason Gaming,"$8,743.78",6 Tournaments,2013
121,Bangkok Titans,"$8,574.50",5 Tournaments,2013
122,Playing Ducks,"$8,328.58",7 Tournaments,2013
123,4Kings,"$8,000.00",1 Tournament,2013
124,iBUYPOWER,"$8,000.00",2 Tournaments,2013
125,CLASH Tournaments,"$7,773.46",41 Tournaments,2013
126,AGAiN,"$7,500.00",1 Tournament,2013
127,Counter Logic Gaming,"$7,300.00",2 Tournaments,2013
128,Heimerdinger's Colossi,"$7,285.84",6 Tournaments,2013
129,Team Nv,"$7,221.06",10 Tournaments,2013
130,Team Roccat,"$7,187.76",6 Tournaments,2013
131,Planetkey Dynamics,"$6,982.10",15 Tournaments,2013
132,Team Property,"$6,957.40",6 Tournaments,2013
133,Made in Thailand,"$6,800.44",2 Tournaments,2013
134,FM eSports,"$6,574.10",2 Tournaments,2013
135,AT Gaming,"$6,454.65",7 Tournaments,2013
136,JusTus,"$6,000.00",1 Tournament,2013
137,Alien Invasion,"$5,831.66",33 Tournaments,2013
138,H2K,"$5,500.00",1 Tournament,2013
139,Maximum Impact Gaming,"$5,405.89",1 Tournament,2013
140,Giants Gaming,"$5,151.93",2 Tournaments,2013
141,FlipSid3 Tactics,"$5,076.66",4 Tournaments,2013
142,Team Infused,"$5,026.30",5 Tournaments,2013
143,All Gamers,"$5,000.00",1 Tournament,2013
144,Team Immunity,"$4,918.80",1 Tournament,2013
145,Netcode Illuminati,"$4,800.00",1 Tournament,2013
146,RattleSnake,"$4,761.10",3 Tournaments,2013
147,Melee it on Me,"$4,443.77",13 Tournaments,2013
148,Vega Squadron,"$4,348.93",18 Tournaments,2013
149,Clarity Gaming,"$4,295.38",7 Tournaments,2013
150,New Star HoSeo,"$4,025.82",4 Tournaments,2013
151,DragonBorns,"$3,965.40",1 Tournament,2013
152,FaZe Clan,"$3,550.00",2 Tournaments,2013
153,Five Crowns,"$3,502.85",2 Tournaments,2013
154,OverGaming,"$3,402.25",1 Tournament,2013
155,Quarter after Midnight,"$3,400.00",12 Tournaments,2013
156,PanDarea,"$3,350.55",3 Tournaments,2013
157,3DMAX,"$2,794.03",4 Tournaments,2013
158,IvDgaming,"$2,700.00",4 Tournaments,2013
159,4 Asians Plus 1,"$2,500.00",1 Tournament,2013
160,Aware Gaming,"$2,500.00",1 Tournament,2013
161,DetonatioN,"$2,500.00",1 Tournament,2013
162,Team LoLPro,"$2,500.00",1 Tournament,2013
163,DuSt Gaming,"$2,483.78",5 Tournaments,2013
164,KaBuM! e-Sports,"$2,432.25",2 Tournaments,2013
165,Cascade,"$2,333.22",6 Tournaments,2013
166,Tricked eSports,"$2,135.09",2 Tournaments,2013
167,Exile5,"$2,120.05",6 Tournaments,2013
168,myRevenge,"$2,075.31",2 Tournaments,2013
169,Salade Tomate Oignon,"$2,061.31",1 Tournament,2013
170,Danish National Team,"$2,000.00",1 Tournament,2013
171,Vox Eminor,"$2,000.00",1 Tournament,2013
172,EYEBALLERS,"$1,909.22",1 Tournament,2013
173,Pulse Esports,"$1,791.28",5 Tournaments,2013
174,Benched Gaming,"$1,593.73",4 Tournaments,2013
175,VGBootCamp,"$1,593.25",10 Tournaments,2013
176,Team Meka,"$1,550.00",8 Tournaments,2013
177,Bad Monkey Gaming,"$1,508.00",1 Tournament,2013
178,Supremacy,"$1,318.43",1 Tournament,2013
179,Clan 519,"$1,000.00",1 Tournament,2013
180,French National Team,"$1,000.00",1 Tournament,2013
181,Strictly Business,"$1,000.00",1 Tournament,2013
182,Carbon,$842.30,16 Tournaments,2013
183,Invasion eSport,$839.55,3 Tournaments,2013
184,K1CK,$821.24,1 Tournament,2013
185,Avant Gaming,$819.80,1 Tournament,2013
186,Vitality,$818.58,1 Tournament,2013
187,Control Gaming,$763.00,17 Tournaments,2013
188,Team Oxy,$619.50,6 Tournaments,2013
189,Project EVERSIO,$534.80,1 Tournament,2013
190,Prophecy,$456.17,1 Tournament,2013
191,SUPA HOT CREW XD,$350.00,1 Tournament,2013
192,Mindfreak,$327.92,1 Tournament,2013
193,Broken Tier,$309.00,3 Tournaments,2013
194,x6tence,$259.76,1 Tournament,2013
195,It's Gosu eSports,$175.00,2 Tournaments,2013
196,mortal Teamwork,$125.00,1 Tournament,2013
197,Team Menace.fi,$96.63,2 Tournaments,2013
198,Smash Studios,$0.00,1 Tournament,2013
0,Newbee,"$5,492,099.13",17 Tournaments,2014
1,Vici Gaming,"$2,204,551.15",35 Tournaments,2014
2,Evil Geniuses,"$1,762,935.80",121 Tournaments,2014
3,Samsung,"$1,505,705.74",75 Tournaments,2014
4,Cloud9,"$1,433,172.56",87 Tournaments,2014
5,Team DK,"$1,233,307.00",16 Tournaments,2014
6,Natus Vincere,"$1,179,922.41",44 Tournaments,2014
7,Invictus Gaming,"$1,178,578.53",83 Tournaments,2014
8,LGD Gaming,"$826,371.30",21 Tournaments,2014
9,Fnatic,"$581,099.62",92 Tournaments,2014
10,Virtus.pro,"$561,674.72",45 Tournaments,2014
11,T1,"$535,319.88",25 Tournaments,2014
12,compLexity Gaming,"$499,863.81",46 Tournaments,2014
13,EDward Gaming,"$471,152.84",13 Tournaments,2014
14,KT Rolster,"$455,067.70",32 Tournaments,2014
15,Alliance,"$446,825.56",29 Tournaments,2014
16,Taipei Assassins,"$385,699.39",8 Tournaments,2014
17,Team Liquid,"$357,033.23",105 Tournaments,2014
18,Star Horn Royal Club,"$343,995.86",8 Tournaments,2014
19,Ninjas in Pyjamas,"$338,957.35",39 Tournaments,2014
20,Team SoloMid,"$290,621.80",18 Tournaments,2014
21,Jin Air Green Wings,"$285,042.93",40 Tournaments,2014
22,Team Envy,"$281,949.81",14 Tournaments,2014
23,OMG,"$268,072.87",9 Tournaments,2014
24,Team Empire,"$264,107.47",41 Tournaments,2014
25,Team Secret,"$238,183.00",5 Tournaments,2014
26,Team LDLC.com,"$226,558.97",24 Tournaments,2014
27,SK Gaming,"$213,045.40",35 Tournaments,2014
28,Team Dignitas,"$210,327.33",68 Tournaments,2014
29,Team Acer,"$206,957.45",111 Tournaments,2014
30,World Elite,"$206,570.99",22 Tournaments,2014
31,OpTic Gaming,"$196,922.41",26 Tournaments,2014
32,Flash Wolves,"$188,447.11",53 Tournaments,2014
33,MVP,"$188,077.19",65 Tournaments,2014
34,ahq e-Sports Club,"$184,347.81",8 Tournaments,2014
35,NaJin e-mFire,"$174,586.39",8 Tournaments,2014
36,CJ Entus,"$171,038.95",34 Tournaments,2014
37,mousesports,"$169,887.74",87 Tournaments,2014
38,StarTale,"$156,482.06",25 Tournaments,2014
39,mYinsanity,"$151,292.22",100 Tournaments,2014
40,Titan eSports,"$142,288.46",46 Tournaments,2014
41,Team Curse,"$132,003.60",71 Tournaments,2014
42,Team King,"$123,696.53",7 Tournaments,2014
43,Millenium,"$120,166.08",54 Tournaments,2014
44,Team Roccat,"$120,155.44",38 Tournaments,2014
45,Team Tinker,"$110,473.09",12 Tournaments,2014
46,Team Archon,"$107,156.45",9 Tournaments,2014
47,All Gamers,"$107,015.00",2 Tournaments,2014
48,Strictly Business,"$105,490.00",5 Tournaments,2014
49,COGnitive Gaming,"$105,235.90",10 Tournaments,2014
50,FaZe Clan,"$101,921.20",17 Tournaments,2014
51,Rave,"$99,105.99",5 Tournaments,2014
52,LMQ,"$92,700.00",7 Tournaments,2014
53,Dark Passage,"$88,054.64",11 Tournaments,2014
54,Hong Kong Attitude,"$87,242.63",14 Tournaments,2014
55,Tempo Storm,"$85,702.97",21 Tournaments,2014
56,TCM Gaming,"$82,375.44",37 Tournaments,2014
57,CM Storm,"$81,840.09",36 Tournaments,2014
58,Bad Monkey Gaming,"$79,332.62",11 Tournaments,2014
59,iBUYPOWER,"$78,007.46",17 Tournaments,2014
60,Incredible Miracle,"$75,864.36",18 Tournaments,2014
61,Denial Esports,"$75,253.27",35 Tournaments,2014
62,TongFu,"$73,607.55",6 Tournaments,2014
63,paiN Gaming,"$71,749.39",14 Tournaments,2014
64,ROOT Gaming,"$71,441.97",84 Tournaments,2014
65,RoX,"$70,749.57",17 Tournaments,2014
66,HellRaisers,"$70,211.24",19 Tournaments,2014
67,KaBuM! e-Sports,"$65,858.93",11 Tournaments,2014
68,Empire Arcadia,"$65,031.60",154 Tournaments,2014
69,Meet Your Makers,"$61,919.08",37 Tournaments,2014
70,Lyon Gaming,"$60,500.00",5 Tournaments,2014
71,Axiom eSports,"$59,624.47",48 Tournaments,2014
72,Reason Gaming,"$59,351.01",34 Tournaments,2014
73,Epsilon eSports,"$54,171.68",18 Tournaments,2014
74,Planetkey Dynamics,"$49,854.55",46 Tournaments,2014
75,H2K,"$48,186.64",8 Tournaments,2014
76,Unicorns of Love,"$47,877.94",22 Tournaments,2014
77,Alien Invasion,"$47,639.23",51 Tournaments,2014
78,Avant Gaming,"$45,882.36",6 Tournaments,2014
79,Keyd Stars,"$43,527.03",11 Tournaments,2014
80,Rise Nation,"$41,295.00",5 Tournaments,2014
81,Sigma,"$40,926.54",5 Tournaments,2014
82,Power Rangers,"$40,832.75",12 Tournaments,2014
83,Saigon Jokers,"$38,000.00",3 Tournaments,2014
84,PENTA Sports,"$34,006.52",42 Tournaments,2014
85,Team KaLiBeR,"$32,480.00",10 Tournaments,2014
86,Counter Logic Gaming,"$29,500.00",3 Tournaments,2014
87,CDEC Gaming,"$29,342.18",3 Tournaments,2014
88,Team LoLPro,"$28,250.00",9 Tournaments,2014
89,Young Glory,"$27,603.34",3 Tournaments,2014
90,Zenith of Origin,"$26,702.36",22 Tournaments,2014
91,Team Coast,"$26,700.00",4 Tournaments,2014
92,froyotech,"$26,584.55",8 Tournaments,2014
93,Team Immunity,"$26,547.35",4 Tournaments,2014
94,Gambit Esports,"$26,500.00",2 Tournaments,2014
95,LGB eSports,"$25,750.92",5 Tournaments,2014
96,CNB e-Sports Club,"$25,726.73",9 Tournaments,2014
97,Rising Stars Gaming,"$25,529.72",14 Tournaments,2014
98,Wayi Spider,"$25,513.10",13 Tournaments,2014
99,Cats Gaming,"$25,341.68",15 Tournaments,2014
100,Hard Random,"$23,011.35",3 Tournaments,2014
101,NewRoSoft,"$22,740.49",19 Tournaments,2014
102,ESC Gaming,"$22,548.61",42 Tournaments,2014
103,XMG,"$21,830.32",53 Tournaments,2014
104,Speed Gaming,"$20,747.70",6 Tournaments,2014
105,G2 Esports,"$20,613.89",17 Tournaments,2014
106,OverGaming,"$19,916.27",7 Tournaments,2014
107,DetonatioN,"$19,514.05",4 Tournaments,2014
108,Norweigan National Team,"$19,108.00",3 Tournaments,2014
109,IvDgaming,"$18,958.65",24 Tournaments,2014
110,Team Alternate,"$18,696.25",37 Tournaments,2014
111,Vox Eminor,"$18,187.45",6 Tournaments,2014
112,Snake Esports,"$17,896.94",2 Tournaments,2014
113,Xenics,"$17,427.88",5 Tournaments,2014
114,n!faculty,"$17,302.15",16 Tournaments,2014
115,Singapore Sentinels,"$16,960.15",3 Tournaments,2014
116,Karont3 e-Sports Club,"$16,783.60",3 Tournaments,2014
117,eSuba,"$16,401.09",22 Tournaments,2014
118,FM eSports,"$16,342.71",7 Tournaments,2014
119,Enemy,"$16,250.50",11 Tournaments,2014
120,Moscow Five,"$16,001.16",8 Tournaments,2014
121,Copenhagen Wolves,"$15,828.86",13 Tournaments,2014
122,CLASH Tournaments,"$15,335.63",57 Tournaments,2014
123,Lemondogs,"$15,057.53",1 Tournament,2014
124,Romanian National Team,"$15,000.00",1 Tournament,2014
125,Giants Gaming,"$14,966.40",5 Tournaments,2014
126,Team Property,"$13,795.70",9 Tournaments,2014
127,Team Nv,"$13,497.57",3 Tournaments,2014
128,Team Malaysia,"$13,258.00",2 Tournaments,2014
129,3DMAX,"$12,951.51",7 Tournaments,2014
130,VGBootCamp,"$12,039.97",23 Tournaments,2014
131,Vega Squadron,"$12,012.84",22 Tournaments,2014
132,Bangkok Titans,"$12,000.00",3 Tournaments,2014
133,Str8 Rippin,"$12,000.00",1 Tournament,2014
134,Vitality,"$11,996.08",5 Tournaments,2014
135,Prophecy,"$11,965.00",9 Tournaments,2014
136,FlipSid3 Tactics,"$11,294.30",10 Tournaments,2014
137,Positive Energy,"$11,189.68",2 Tournaments,2014
138,Clan-Mystik,"$11,157.64",8 Tournaments,2014
139,Mineski,"$11,000.00",2 Tournaments,2014
140,Kaos Latin Gamers,"$10,970.00",2 Tournaments,2014
141,Playing Ducks,"$10,765.78",21 Tournaments,2014
142,against All authority,"$10,564.58",14 Tournaments,2014
143,Legacy eSports,"$10,558.80",1 Tournament,2014
144,Kuala Lumpur Hunters,"$10,173.53",5 Tournaments,2014
145,Finnish National Team,"$10,000.00",1 Tournament,2014
146,Project_kr,"$10,000.00",1 Tournament,2014
147,VwS Gaming,"$9,809.75",9 Tournaments,2014
148,French National Team,"$9,583.00",2 Tournaments,2014
149,vVv Gaming,"$9,551.07",7 Tournaments,2014
150,Imaginary Gaming,"$9,538.04",15 Tournaments,2014
151,Team Infused,"$9,369.01",8 Tournaments,2014
152,London Conspiracy,"$9,202.12",7 Tournaments,2014
153,TyLoo,"$9,119.55",3 Tournaments,2014
154,Big3,"$9,021.27",5 Tournaments,2014
155,Melee it on Me,"$8,257.10",42 Tournaments,2014
156,Chiefs Esports Club,"$8,182.04",3 Tournaments,2014
157,AT Gaming,"$8,130.95",19 Tournaments,2014
158,Isurus Gaming,"$8,024.05",3 Tournaments,2014
159,Mexican National Team,"$7,717.00",1 Tournament,2014
160,Wings Gaming,"$7,292.35",3 Tournaments,2014
161,Team Meka,"$6,695.42",10 Tournaments,2014
162,Dead Pixels,"$6,665.91",20 Tournaments,2014
163,Exile5,"$6,625.14",16 Tournaments,2014
164,Cascade,"$6,244.53",18 Tournaments,2014
165,Shoot To Kill,"$6,000.00",1 Tournament,2014
166,Execration,"$5,890.00",1 Tournament,2014
167,ENCE eSports,"$5,806.57",5 Tournaments,2014
168,Tricked eSports,"$5,435.54",16 Tournaments,2014
169,Prime,"$5,402.12",14 Tournaments,2014
170,Dire Wolves,"$5,279.40",1 Tournament,2014
171,JusTus,"$5,000.00",3 Tournaments,2014
172,Lions,"$5,000.00",1 Tournament,2014
173,myRevenge,"$5,000.00",1 Tournament,2014
174,Orange Esports,"$5,000.00",1 Tournament,2014
175,Control Gaming,"$4,974.15",36 Tournaments,2014
176,Invasion eSport,"$4,764.65",22 Tournaments,2014
177,Polish National Team,"$4,653.00",2 Tournaments,2014
178,GamersOrigin,"$4,637.21",1 Tournament,2014
179,Team FeaR,"$4,500.00",1 Tournament,2014
180,Awsomniac,"$4,174.28",2 Tournaments,2014
181,Team Lucky Draw,"$4,000.00",3 Tournaments,2014
182,HyperGloryTeam,"$3,899.02",4 Tournaments,2014
183,Elevate,"$3,600.00",2 Tournaments,2014
184,Smash Studios,"$3,506.05",25 Tournaments,2014
185,Quarter after Midnight,"$3,501.91",11 Tournaments,2014
186,Korean National Team,"$3,500.00",1 Tournament,2014
187,INTZ eSports,"$3,434.39",2 Tournaments,2014
188,Bravado Gaming,"$3,135.12",3 Tournaments,2014
189,Noble eSports,"$3,085.00",4 Tournaments,2014
190,Pulse Esports,"$2,952.54",5 Tournaments,2014
191,Mortality,"$2,883.30",25 Tournaments,2014
192,Aware Gaming,"$2,680.00",2 Tournaments,2014
193,LowLandLions,"$2,517.48",7 Tournaments,2014
194,Scythe Gaming,"$2,384.00",4 Tournaments,2014
195,Team Orbit,"$2,373.91",2 Tournaments,2014
196,mortal Teamwork,"$2,302.49",10 Tournaments,2014
197,Panda Global,"$1,988.00",8 Tournaments,2014
198,Method,"$1,750.00",3 Tournaments,2014
199,GameTV,"$1,672.00",3 Tournaments,2014
200,INSHOCK,"$1,651.57",2 Tournaments,2014
201,K1CK,"$1,600.70",2 Tournaments,2014
202,Temp.no,"$1,532.10",1 Tournament,2014
203,GSI Gaming,"$1,509.61",1 Tournament,2014
204,Russian National Team,"$1,500.00",1 Tournament,2014
205,Team Saw,"$1,500.00",1 Tournament,2014
206,Team Innovation,"$1,433.17",4 Tournaments,2014
207,The Steam Co,"$1,429.25",29 Tournaments,2014
208,Team Oxy,"$1,358.00",8 Tournaments,2014
209,XDG Gaming,"$1,250.00",1 Tournament,2014
210,Project EVERSIO,"$1,224.57",2 Tournaments,2014
211,CheckSix Gaming,"$1,000.00",1 Tournament,2014
212,Swedish National Team,"$1,000.00",1 Tournament,2014
213,x6tence,$982.88,1 Tournament,2014
214,Carbon,$979.00,16 Tournaments,2014
215,Ukranian National Team,$900.00,1 Tournament,2014
216,Final Boss,$750.00,1 Tournament,2014
217,Infamous,$690.75,1 Tournament,2014
218,Hong Kong Esports,$635.60,1 Tournament,2014
219,Frequency,$620.00,6 Tournaments,2014
220,German National Team,$600.00,1 Tournament,2014
221,Clan 519,$540.00,2 Tournaments,2014
222,Exertus eSports,$500.00,1 Tournament,2014
223,True eSport,$342.24,5 Tournaments,2014
224,Team Menace.fi,$300.80,2 Tournaments,2014
225,El NeXo,$300.00,3 Tournaments,2014
226,Lets Play,$257.96,2 Tournaments,2014
227,Redbloods,$232.84,3 Tournaments,2014
228,DuSt Gaming,$139.27,3 Tournaments,2014
229,PSISTORM Gaming,$75.00,2 Tournaments,2014
230,Geeky Goon Squad,$57.67,3 Tournaments,2014
231,Trail Gaming League,$20.50,1 Tournament,2014
232,Broken Tier,$20.00,3 Tournaments,2014
233,BOT,$12.63,1 Tournament,2014
0,Evil Geniuses,"$8,952,105.73",94 Tournaments,2015
1,CDEC Gaming,"$3,295,814.38",14 Tournaments,2015
2,LGD Gaming,"$3,232,952.06",21 Tournaments,2015
3,Vici Gaming,"$2,632,294.23",33 Tournaments,2015
4,Team Secret,"$2,227,276.09",14 Tournaments,2015
5,Virtus.pro,"$2,197,178.53",71 Tournaments,2015
6,COGnitive Gaming,"$1,806,726.48",88 Tournaments,2015
7,EHOME,"$1,630,477.11",10 Tournaments,2015
8,T1,"$1,531,484.02",30 Tournaments,2015
9,Cloud9,"$1,515,540.67",142 Tournaments,2015
10,Fnatic,"$1,480,906.62",116 Tournaments,2015
11,MVP,"$1,301,135.29",89 Tournaments,2015
12,OG,"$1,203,634.00",5 Tournaments,2015
13,Natus Vincere,"$1,037,897.56",69 Tournaments,2015
14,Invictus Gaming,"$947,513.87",63 Tournaments,2015
15,Team SoloMid,"$903,676.74",103 Tournaments,2015
16,Titan eSports,"$689,300.57",25 Tournaments,2015
17,Team Liquid,"$675,301.95",252 Tournaments,2015
18,Alliance,"$645,007.25",59 Tournaments,2015
19,Team Envy,"$641,260.79",56 Tournaments,2015
20,Team Empire,"$631,822.75",24 Tournaments,2015
21,EDward Gaming,"$621,063.20",43 Tournaments,2015
22,Denial Esports,"$616,948.74",42 Tournaments,2015
23,HellRaisers,"$553,658.17",35 Tournaments,2015
24,Ninjas in Pyjamas,"$501,428.00",44 Tournaments,2015
25,SK Gaming,"$498,422.77",49 Tournaments,2015
26,OpTic Gaming,"$445,907.00",61 Tournaments,2015
27,Team Dignitas,"$437,160.43",101 Tournaments,2015
28,KT Rolster,"$401,380.59",28 Tournaments,2015
29,compLexity Gaming,"$363,830.85",73 Tournaments,2015
30,ROX Gaming,"$362,745.58",5 Tournaments,2015
31,Counter Logic Gaming,"$329,423.83",53 Tournaments,2015
32,Jin Air Green Wings,"$321,353.86",35 Tournaments,2015
33,Flash Wolves,"$304,693.43",71 Tournaments,2015
34,eStar Gaming,"$302,599.71",28 Tournaments,2015
35,FaZe Clan,"$301,558.00",35 Tournaments,2015
36,OMG,"$265,849.29",11 Tournaments,2015
37,Newbee,"$257,912.69",29 Tournaments,2015
38,Vega Squadron,"$257,278.77",43 Tournaments,2015
39,Origen,"$241,357.36",8 Tournaments,2015
40,ahq e-Sports Club,"$225,527.16",7 Tournaments,2015
41,Nihilum Gaming,"$224,432.42",33 Tournaments,2015
42,Tempo Storm,"$223,691.73",90 Tournaments,2015
43,Millenium,"$219,786.48",108 Tournaments,2015
44,Big God,"$218,550.13",2 Tournaments,2015
45,ROOT Gaming,"$216,548.13",116 Tournaments,2015
46,CJ Entus,"$205,961.53",26 Tournaments,2015
47,G2 Esports,"$195,199.53",50 Tournaments,2015
48,Luminosity Gaming,"$187,679.85",31 Tournaments,2015
49,PENTA Sports,"$177,468.23",78 Tournaments,2015
50,mousesports,"$172,349.06",71 Tournaments,2015
51,Chinese National Team,"$166,104.40",2 Tournaments,2015
52,Rave,"$164,842.44",5 Tournaments,2015
53,Team Archon,"$163,238.04",40 Tournaments,2015
54,Snake Esports,"$163,107.91",13 Tournaments,2015
55,World Elite,"$161,231.67",17 Tournaments,2015
56,HyperGloryTeam,"$157,023.75",5 Tournaments,2015
57,Epsilon eSports,"$154,546.18",41 Tournaments,2015
58,mYinsanity,"$148,214.39",108 Tournaments,2015
59,Royal Never Give Up,"$144,323.40",3 Tournaments,2015
60,Elevate,"$135,346.00",35 Tournaments,2015
61,TongFu,"$133,981.68",13 Tournaments,2015
62,Team DK,"$131,166.98",7 Tournaments,2015
63,Prophecy,"$121,630.00",14 Tournaments,2015
64,Enemy,"$120,482.00",25 Tournaments,2015
65,Qiao Gu Reapers,"$117,910.10",4 Tournaments,2015
66,FlipSid3 Tactics,"$110,833.68",104 Tournaments,2015
67,Bad Monkey Gaming,"$110,348.73",9 Tournaments,2015
68,Paradigm,"$110,000.00",2 Tournaments,2015
69,4 Clovers & Lepricon,"$105,298.45",8 Tournaments,2015
70,London Conspiracy,"$102,376.05",23 Tournaments,2015
71,Samsung,"$100,517.76",101 Tournaments,2015
72,Team Eager,"$95,500.00",6 Tournaments,2015
73,Korean National Team,"$90,000.00",1 Tournament,2015
74,paiN Gaming,"$84,967.31",13 Tournaments,2015
75,Team Roccat,"$83,983.38",39 Tournaments,2015
76,H2K,"$83,525.00",7 Tournaments,2015
77,American National Team,"$80,522.00",1 Tournament,2015
78,Thai National Team,"$79,259.50",2 Tournaments,2015
79,RoX,"$78,056.95",10 Tournaments,2015
80,Team Malaysia,"$75,326.27",7 Tournaments,2015
81,Team LDLC.com,"$72,904.15",26 Tournaments,2015
82,Mineski,"$72,448.08",11 Tournaments,2015
83,Keyd Stars,"$72,016.48",19 Tournaments,2015
84,Automatic Reload,"$71,575.00",5 Tournaments,2015
85,ESC Ever,"$71,453.24",3 Tournaments,2015
86,Bangkok Titans,"$71,381.20",6 Tournaments,2015
87,Wings Gaming,"$66,394.40",3 Tournaments,2015
88,Reason Gaming,"$65,849.43",28 Tournaments,2015
89,Team Acer,"$65,748.92",154 Tournaments,2015
90,Team KaLiBeR,"$65,285.52",14 Tournaments,2015
91,Mindfreak,"$62,306.75",5 Tournaments,2015
92,X-Team,"$55,546.94",51 Tournaments,2015
93,CM Storm,"$55,544.52",10 Tournaments,2015
94,Team Celestial,"$55,480.53",10 Tournaments,2015
95,Rise Nation,"$55,135.00",13 Tournaments,2015
96,Team Kinguin,"$54,250.00",8 Tournaments,2015
97,Team Infused,"$53,791.31",40 Tournaments,2015
98,Saigon Jokers,"$51,827.83",6 Tournaments,2015
99,French National Team,"$50,000.00",1 Tournament,2015
100,Kaos Latin Gamers,"$48,000.00",5 Tournaments,2015
101,Dead Pixels,"$47,963.57",65 Tournaments,2015
102,Renegades,"$47,511.34",9 Tournaments,2015
103,Exile5,"$47,038.87",19 Tournaments,2015
104,SBENU,"$46,537.89",28 Tournaments,2015
105,Team Unknown,"$46,000.00",2 Tournaments,2015
106,Team Property,"$45,890.93",17 Tournaments,2015
107,INTZ eSports,"$45,580.95",9 Tournaments,2015
108,Team Impulse,"$43,000.00",5 Tournaments,2015
109,Winterfox,"$42,089.26",34 Tournaments,2015
110,Hard Random,"$41,007.50",9 Tournaments,2015
111,Hong Kong Esports,"$40,695.44",4 Tournaments,2015
112,Splyce,"$38,238.75",32 Tournaments,2015
113,Conquest,"$37,500.00",5 Tournaments,2015
114,Incredible Miracle,"$37,220.08",5 Tournaments,2015
115,(monkey) Business,"$37,194.00",2 Tournaments,2015
116,Unicorns of Love,"$37,000.00",3 Tournaments,2015
117,Zenith of Origin,"$35,943.61",26 Tournaments,2015
118,3sUP Enterprises,"$35,626.66",9 Tournaments,2015
119,Taipei Assassins,"$34,838.75",3 Tournaments,2015
120,TCM Gaming,"$34,212.32",26 Tournaments,2015
121,Wayi Spider,"$33,823.77",15 Tournaments,2015
122,Moscow Five,"$33,529.24",11 Tournaments,2015
123,Team Dragon Knights,"$33,500.00",5 Tournaments,2015
124,NaJin e-mFire,"$33,136.16",4 Tournaments,2015
125,Team Question Mark,"$32,060.56",2 Tournaments,2015
126,GamersOrigin,"$31,665.79",6 Tournaments,2015
127,TnC Gaming,"$31,626.20",7 Tournaments,2015
128,Planetkey Dynamics,"$31,403.66",44 Tournaments,2015
129,Chiefs Esports Club,"$31,109.44",5 Tournaments,2015
130,Lyon Gaming,"$31,060.05",6 Tournaments,2015
131,Team Hearthlytics,"$30,760.00",9 Tournaments,2015
132,Power Rangers,"$30,411.17",11 Tournaments,2015
133,ESC Gaming,"$29,906.40",50 Tournaments,2015
134,Team Alternate,"$28,661.87",20 Tournaments,2015
135,Team King,"$28,477.40",2 Tournaments,2015
136,Invasion eSport,"$25,566.50",46 Tournaments,2015
137,Boreal eSports,"$25,408.45",38 Tournaments,2015
138,Polish National Team,"$25,000.00",1 Tournament,2015
139,Project_kr,"$25,000.00",1 Tournament,2015
140,Masters 3,"$24,718.00",2 Tournaments,2015
141,Panda Global,"$24,687.97",56 Tournaments,2015
142,Trig Esports,"$24,512.24",11 Tournaments,2015
143,Copenhagen Wolves,"$23,881.87",12 Tournaments,2015
144,Avant Gaming,"$23,613.25",4 Tournaments,2015
145,LowLandLions,"$23,196.73",16 Tournaments,2015
146,Team Fusion,"$23,000.00",3 Tournaments,2015
147,froyotech,"$22,847.92",5 Tournaments,2015
148,True eSport,"$22,585.32",52 Tournaments,2015
149,x6tence,"$22,147.52",14 Tournaments,2015
150,Team Coast,"$22,000.00",3 Tournaments,2015
151,Kuala Lumpur Hunters,"$21,681.46",4 Tournaments,2015
152,VwS Gaming,"$20,253.31",66 Tournaments,2015
153,eSuba,"$20,154.69",21 Tournaments,2015
154,against All authority,"$19,718.12",19 Tournaments,2015
155,Ex Nihilo,"$19,551.02",6 Tournaments,2015
156,Legacy eSports,"$19,016.26",3 Tournaments,2015
157,Prime,"$18,445.69",56 Tournaments,2015
158,Made in Thailand,"$18,175.00",2 Tournaments,2015
159,Method,"$18,050.00",8 Tournaments,2015
160,Fraternitas,"$17,700.63",12 Tournaments,2015
161,Hong Kong Attitude,"$17,554.21",8 Tournaments,2015
162,Speed Gaming,"$17,226.94",2 Tournaments,2015
163,Epiphany Bolt,"$16,970.63",18 Tournaments,2015
164,Giants Gaming,"$16,776.48",11 Tournaments,2015
165,Vexed Gaming,"$16,340.93",8 Tournaments,2015
166,EURONICS Gaming,"$16,331.45",10 Tournaments,2015
167,Hyper Youth Gaming,"$16,108.00",1 Tournament,2015
168,Rising Stars Gaming,"$16,101.82",3 Tournaments,2015
169,Dark Passage,"$15,929.08",3 Tournaments,2015
170,Torpedo Gaming,"$15,912.85",9 Tournaments,2015
171,OverGaming,"$15,810.29",13 Tournaments,2015
172,Fade 2 Karma,"$15,142.71",8 Tournaments,2015
173,Odyssey Gaming,"$15,000.00",2 Tournaments,2015
174,Cats Gaming,"$14,700.16",9 Tournaments,2015
175,Team Tinker,"$13,966.00",3 Tournaments,2015
176,Imaginary Gaming,"$13,730.92",17 Tournaments,2015
177,Team Orbit,"$13,683.10",11 Tournaments,2015
178,CNB e-Sports Club,"$13,248.98",13 Tournaments,2015
179,Bob Question Mark,"$13,240.19",6 Tournaments,2015
180,FM eSports,"$13,152.15",9 Tournaments,2015
